,0,1,2,3,4
0,(9+0j),(3.9819405508659256+0j),(-1.1855641752871002+0j),(-1.3856430807836042+0j),(-7.063409945067339+0j)
1,0j,(-20.48814698648004+0j),(5.348985959266568+0j),(6.454680881632714+0j),(2.851138698900725+0j)
2,(8+0j),(1.3662853766712055+0j),(3.698392298252036+0j),(6.3023457910069025+0j),(1.0557628225588087+0j)
3,(5+0j),(1.9444404357457221+0j),(1.8729737952815344+0j),(8.666181042629631+0j),(0.07136438897956332+0j)
4,(3+0j),(-0.3894222296565455+0j),(-7.31365164915407+0j),(-8.406051844793305+0j),(-10.64708611684125+0j)
5,(4+0j),(2.7835406541772088+0j),(-5.428650551939856+0j),(2.8081595348133015+0j),(-1.6969517539507992+0j)
6,(7+0j),(6.974078375948432+0j),(-3.5989747965530974+0j),(3.02799269936819+0j),(0.28287105216128416+0j)
7,(1+0j),(7.674929704608506+0j),(4.067982921487845+0j),(-4.664306057737648+0j),(1.294907463622523+0j)
8,(9+0j),(7.1677272898423+0j),(0.9591475201920306+0j),(3.681368945278546+0j),(-0.6404612389453214+0j)
9,(4+0j),(-1.4409658363627733+0j),(-3.881546021175271+0j),(5.811041040510114+0j),(1.5793294507272613+0j)
10,(8+0j),(-8.587359478811502+0j),(9.353363746831192+0j),(3.8112512009550374+0j),(-7.523945955284121+0j)
11,0j,(-12.384008754001893+0j),(-2.335710692377522+0j),(-4.441435387843636+0j),(-2.365890758584164+0j)
12,(7+0j),(6.512066801933645+0j),(-5.865410122371729+0j),(4.775792396720899+0j),(-1.4244436697642173+0j)
13,(2+0j),(6.0530144190095045+0j),(-4.689284320462092+0j),(-5.635873040937964+0j),(-1.487547380799899+0j)
14,(1+0j),(7.36963498431994+0j),(1.4215278080316016+0j),(-1.7814631591730465+0j),(1.918632799183493+0j)
15,(8+0j),(-0.30940559775426746+0j),(4.962011071629703+0j),(3.577571284453186+0j),(-6.508012857129127+0j)
16,(3+0j),(-4.656802624234897+0j),(-11.551531801163637+0j),(-8.101470730256429+0j),(0.6726216245889332+0j)
17,0j,(-13.479234983117246+0j),(13.186006361634892+0j),(2.735130525079481+0j),(-4.662740793490035+0j)
18,(1+0j),(7.6853513617838916+0j),(0.37259698278441866+0j),(-1.8375387703384014+0j),(0.7169945969722248+0j)
19,(8+0j),(2.866179828220797+0j),(5.304907904329204+0j),(1.5346995345974457+0j),(-2.6792739786386766+0j)
20,(1+0j),(7.779845861225697+0j),(-0.546114176325456+0j),(-0.508371330812356+0j),(0.2366752279227604+0j)
21,0j,(-3.2403429911902504+0j),(5.412921849419225+0j),(4.011820145818425+0j),(2.8045665421922186+0j)
22,(1+0j),(5.447556835748045+0j),(3.3783270959026166+0j),(-2.4775475076795432+0j),(0.10483613278478077+0j)
23,(4+0j),(-3.9061895049225495+0j),(-1.2069648084129199+0j),(-0.2816179653595353+0j),(5.5322067725747415+0j)
24,(2+0j),(4.302714744945449+0j),(2.36744166995383+0j),(-5.31364665332329+0j),(2.7722806129329878+0j)
25,(1+0j),(6.883139452979786+0j),(3.9430154993681934+0j),(-3.7342301888851015+0j),(0.39649804506180164+0j)
26,(4+0j),(3.729783408917122+0j),(-7.306556373091184+0j),(3.498383143679537+0j),(1.6777979261894878+0j)
27,(7+0j),(7.045474909164073+0j),(0.5394248844712304+0j),(7.331674333386439+0j),(-0.4876481648971888+0j)
28,(9+0j),(6.580425241740945+0j),(-0.11531658614363771+0j),(3.4253769910692062+0j),(-1.6217195974371883+0j)
29,(6+0j),(3.142124146799389+0j),(5.176146091687108+0j),(-2.549837820040184+0j),(4.759372020933471+0j)
30,(5+0j),(1.4777027136663237+0j),(2.240656395658337+0j),(-4.026737877417629+0j),(-3.6539257570629355+0j)
31,(8+0j),(0.14956817797144217+0j),(4.498181035273053+0j),(-2.777337594860015+0j),(-5.628220048149836+0j)
32,(8+0j),(5.3201669253656965+0j),(1.286915261556465+0j),(-1.5225947546919376+0j),(-3.137819779354025+0j)
33,(2+0j),(3.7435194291666085+0j),(-1.17592099737864+0j),(-6.108044030962936+0j),(1.8500248655170592+0j)
34,0j,(-18.781773015680084+0j),(-9.552200487637274+0j),(3.602418564268709+0j),(4.8584830404350345+0j)
35,(7+0j),(7.179175284934642+0j),(-0.03981655193650746+0j),(3.550220863218363+0j),(-0.7061334837097354+0j)
36,(1+0j),(5.278809670607387+0j),(6.125681060176554+0j),(-4.323903619991973+0j),(-1.156403467409726+0j)
37,(1+0j),(5.8388997831793255+0j),(4.119753912828158+0j),(-4.656549120829549+0j),(-0.09898895482174919+0j)
38,(8+0j),(-2.372160822392642+0j),(9.46717321211633+0j),(1.4951590322169634+0j),(-1.6018604551637783+0j)
39,(2+0j),(-5.061021993064569+0j),(5.279907585358568+0j),(3.2279366541068866+0j),(-0.8692196711653094+0j)
40,(8+0j),(-4.64100852538664+0j),(3.963171863390104+0j),(-2.637338693764351+0j),(3.589302752328138+0j)
41,(6+0j),(4.113627419455322+0j),(7.519559853711108+0j),(-2.180123566617113+0j),(2.6898552530733313+0j)
42,(2+0j),(-7.132460053975818+0j),(5.907044648046693+0j),(-3.422275183778284+0j),(3.8092413018802325+0j)
43,0j,(-20.562590241038748+0j),(-5.39841261027836+0j),(2.600502293987015+0j),(2.9027687250408296+0j)
44,(9+0j),(-2.138277122059615+0j),(-13.90796947194773+0j),(2.7886287351261414+0j),(2.5730132328717223+0j)
45,(4+0j),(6.263372686548186+0j),(1.8800780614629982+0j),(1.3371034249861853+0j),(2.452758793448234+0j)
46,(7+0j),(0.9116535944514197+0j),(-4.943411404119788+0j),(10.921025321223109+0j),(-2.06339387906254+0j)
47,(3+0j),(-0.4417563469810706+0j),(1.497420249981319+0j),(-8.086249483379433+0j),(-4.701028192597998+0j)
48,0j,(-8.194060761616297+0j),(9.61019086412141+0j),(7.079683717614118+0j),(-2.432276740148975+0j)
49,0j,(-17.45346666498517+0j),(-2.2873401615829407+0j),(-2.8890722467394387+0j),(-2.9139477150353197+0j)
50,(3+0j),(-2.535036894610235+0j),(1.8776068205196372+0j),(-5.900826409117086+0j),(-7.097178294366926+0j)
51,(8+0j),(3.476418747131486+0j),(6.932144683340244+0j),(-0.6572510920025659+0j),(-5.590996193013354+0j)
52,(4+0j),(5.784060238762529+0j),(0.7395726746941588+0j),(4.039623784019202+0j),(2.4672639506380025+0j)
53,(2+0j),(-13.268040230730383+0j),(6.022048572737453+0j),(-8.433863861464172+0j),(7.629390884937579+0j)
54,(5+0j),(1.9769162744614373+0j),(4.511841630251728+0j),(3.5463290838734416+0j),(-3.4851726316366167+0j)
55,(3+0j),(-0.25337050052820786+0j),(-8.869526926052993+0j),(-8.22185238152271+0j),(-8.131878418371729+0j)
56,(1+0j),(7.935763994536384+0j),(3.243927535484537+0j),(-2.80707339999787+0j),(1.3825038015736877+0j)
57,0j,(-17.833819365401062+0j),(3.754908372780235+0j),(5.744930948737825+0j),(-2.352971412338308+0j)
58,(9+0j),(2.937104017482831+0j),(-0.4421834552491433+0j),(7.5599371771213875+0j),(1.0378422928020141+0j)
59,(2+0j),(-6.143172692739205+0j),(1.4988075018955103+0j),(-4.512505615901294+0j),(14.31445466523436+0j)
60,(9+0j),(8.453088245115847+0j),(-0.3453498746362044+0j),(4.500160028006705+0j),(0.01228391690499408+0j)
61,(1+0j),(7.6299148258444145+0j),(2.2083035182867583+0j),(-3.2755480702833606+0j),(1.846941687021045+0j)
62,(2+0j),(-2.2032727038237825+0j),(7.208164065996024+0j),(-3.6165534727395743+0j),(-2.540400908391294+0j)
63,(1+0j),(6.404734531273719+0j),(4.859047781153888+0j),(-3.453075052883987+0j),(-1.5934720331429912+0j)
64,(8+0j),(4.5746550451469945+0j),(-1.7505683066549573+0j),(-5.501456626888701+0j),(-0.7270090360414557+0j)
