,0,1,2,3,4,5
0,(6+0j),(-4.0412219587107385+0j),(6.387054826430812+0j),(2.456497626579273+0j),(-6.405845166210901+0j),(-1.5482930629318903+0j)
1,(5+0j),(2.590533051848711+0j),(-2.679624888330645+0j),(4.643166544868202+0j),(7.424599355489781+0j),(-4.275283667118376+0j)
2,(4+0j),(-3.0178931540962832+0j),(-6.374427662467428+0j),(-2.4547728488134526+0j),(-1.5095163298270688+0j),(-1.2801742066552706+0j)
3,(1+0j),(-7.653591757321356+0j),(1.0200892886397077+0j),(2.2119493329876057+0j),(-1.2622917856002693+0j),(3.986651309819714+0j)
4,(6+0j),(13.199469423434302+0j),(-4.176081871177265+0j),(0.7698751389787719+0j),(-16.241392454923446+0j),(-5.17712192773222+0j)
5,(5+0j),(1.5962037352181389+0j),(10.940558848409756+0j),(0.20534916585252833+0j),(5.128276936210355+0j),(-2.6036990308245236+0j)
6,(6+0j),(-3.172842976879548+0j),(6.725496718423744+0j),(1.2259086707110338+0j),(-6.932762719117996+0j),(-2.518414567904828+0j)
7,0j,(12.795458386041743+0j),(6.697660700964789+0j),(-7.387015388260715+0j),(2.8279565061449077+0j),(-1.2647086894786845+0j)
8,(6+0j),(-0.49067858370024486+0j),(3.259841172303453+0j),(-1.2808352360893083+0j),(-9.865464734711958+0j),(-9.36532632192128+0j)
9,(7+0j),(-2.6926244204355667+0j),(-12.41376406819602+0j),(-10.751120089882441+0j),(1.1401124052654064+0j),(0.6923225192487488+0j)
10,(6+0j),(-0.9379409060117525+0j),(4.06532199480386+0j),(1.3377362905745915+0j),(-10.356928218137824+0j),(-8.419210102753427+0j)
11,(3+0j),(6.3101536766012405+0j),(10.589703705493248+0j),(-0.8005360189937306+0j),(3.672303786939348+0j),(1.0493687041452462+0j)
12,(7+0j),(-5.48371436934717+0j),(-4.534392173142606+0j),(-9.128751919436972+0j),(0.8830782613866784+0j),(-2.1519074024249893+0j)
13,(8+0j),(1.5776465949383556+0j),(6.79111992799645+0j),(-2.766398848098716+0j),(3.337069264703787+0j),(-1.0609085874350772+0j)
14,(3+0j),(-0.42389467194472186+0j),(-3.443606180682138+0j),(-5.328897470618402+0j),(5.954697920911062+0j),(-2.561667421716569+0j)
15,(4+0j),(-0.5628650428586829+0j),(4.637089835469491+0j),(-7.776777319228677+0j),(-3.504212276197533+0j),(1.092976364271001+0j)
16,(9+0j),(-7.813142660745594+0j),(-0.40492008777289773+0j),(-2.812321502925398+0j),(0.48540750735364113+0j),(-0.8990439236061489+0j)
17,(6+0j),(6.697770443908809+0j),(-5.808730212516544+0j),(3.35879536715772+0j),(-9.07104497438483+0j),(4.107872458137708+0j)
18,(3+0j),(0.820292699698996+0j),(-5.098458684190191+0j),(12.437862271318771+0j),(4.907160721900572+0j),(1.1301921408346953+0j)
19,(7+0j),(-2.4128698448734265+0j),(-11.256901370410928+0j),(-2.29459950103018+0j),(2.1130323350438767+0j),(0.7039729602185247+0j)
20,0j,(3.5420461227141677+0j),(8.243767204033736+0j),(-5.200077345506669+0j),(4.276678187918092+0j),(-2.337914112034831+0j)
21,(9+0j),(-0.47718542466938046+0j),(-8.282986594085177+0j),(-4.57070172230073+0j),(-1.8677681890472657+0j),(-0.06610721347746086+0j)
22,(8+0j),(-1.9917491569219363+0j),(10.018765319063798+0j),(-2.3858613164569493+0j),(4.827024421298749+0j),(0.31789358170240556+0j)
23,0j,(24.587490452921447+0j),(9.07993961768973+0j),(-7.867778058905579+0j),(0.9775570041167455+0j),(4.476065398676813+0j)
24,(6+0j),(9.826378775280348+0j),(-3.431725525592709+0j),(1.614560738536925+0j),(-12.022875587498113+0j),(1.1735467269966413+0j)
25,(3+0j),(-2.305388852476574+0j),(6.159616346653889+0j),(-1.686121441201449+0j),(9.411030439028996+0j),(-0.8457112678129179+0j)
26,(2+0j),(5.381459103975976+0j),(-3.85168702149607+0j),(8.165453577460232+0j),(-5.899770314667061+0j),(4.648750086413127+0j)
27,(6+0j),(-2.060379795934468+0j),(3.437716093613649+0j),(1.7239317781257408+0j),(-4.332471008623369+0j),(-2.8969276948128453+0j)
28,0j,(0.08174350893430135+0j),(0.5960421461157507+0j),(-1.8526571629270931+0j),(2.513412898893229+0j),(-6.216567691286939+0j)
